inchikey,name,C6_au,alpha_au
LRHPLDYGYMQRHN-UHFFFAOYSA-N,1-butanol,1467.6548070057781,56.55659402266126
KFZMGEQAYNKOFK-UHFFFAOYSA-N,isopropanol,926.1612912317682,44.856809833159275
NNPPMTNAJDCUHE-UHFFFAOYSA-N,isobutane,1218.8374772477796,52.10569258523896
ZMXDDKWLCZADIW-UHFFFAOYSA-N,"n,n-dimethylformamide",1155.4502674793994,51.060419047851475
VLKZOEOYAKHREP-UHFFFAOYSA-N,n-hexane,2572.933308474012,75.58542234568995
UAEPNZWRGJTJPN-UHFFFAOYSA-N,methylcyclohexane,3084.9932275785864,82.53169572964697
IIEWJVIFRVWJOD-UHFFFAOYSA-N,ethylcyclohexane,4028.712785208239,94.31449842559906
PEDCQBHIVMGVHV-UHFFFAOYSA-N,glycerol,1406.7201131849642,54.17374814393175
BDERNNFJNOPAEC-UHFFFAOYSA-N,1-propanol,924.5306928814107,44.82054812682922
XNWFRZJHXBZDAG-UHFFFAOYSA-N,2-methoxyethanol,1157.2808654607652,49.70788816974736
VZGDMQKNWNREIO-UHFFFAOYSA-N,carbon_tetrachloride,1961.7847872827701,67.46075273296168
QARVLSVVCXYDNA-UHFFFAOYSA-N,bromobenzene,2872.6169361052616,86.89423733442943
SUVIGLJNEAMWEG-UHFFFAOYSA-N,n-propyl_mercaptan,1477.1929928330424,59.819339653200956
WQAQPCDUOCURKW-UHFFFAOYSA-N,n-butyl_mercaptan,2146.356693264786,71.54964504323176
