fam_solute,fam_solvent,n,MAE,bias,model
aromatic HC,nitrile,1,0.026436226071155478,-0.026436226071155478,Z1
aromatic HC,water,4,0.6305584963097796,0.6305584963097796,Z1
ester,acid,25,0.7247081306471661,-0.7247081306471661,Z1
ester,alcohol,18,2.8070788465775123,2.8070788465775123,Z1
ester,aromatic HC,2,0.04081825559336665,0.04081825559336665,Z1
ester,water,50,0.36076998721012027,-0.3337197992636496,Z1
ether,acid,25,0.1242558927256386,0.11226966654449776,Z1
ether,alcohol,90,0.9781291599006002,0.4320232394505989,Z1
ether,aromatic HC,29,0.09828682384249257,-0.08798570238732864,Z1
ether,ether,5,0.10793404981543202,-0.10793404981543202,Z1
ether,water,64,1.1854178874678996,0.9633907328816952,Z1
halogenated,acid,102,0.2735471020781327,0.262351364077688,Z1
halogenated,alcohol,106,1.658493775049687,1.1963654187145274,Z1
halogenated,amide,1,0.48599730270640085,-0.48599730270640085,Z1
halogenated,amine,4,0.17766357259434482,0.1344633258378147,Z1
halogenated,aromatic HC,30,0.07659257536038082,0.06555918231948116,Z1
halogenated,ether,5,0.08083536012486672,0.08083536012486672,Z1
ketone/aldehyde,acid,28,1.1235118971788352,-1.1235118971788352,Z1
ketone/aldehyde,alcohol,9,3.6042117153939963,3.6042117153939963,Z1
ketone/aldehyde,aromatic HC,1,0.17642343637073649,-0.17642343637073649,Z1
ketone/aldehyde,water,53,0.6597193640367047,-0.5520566626680303,Z1
nitrile,alkene/alkyne,1,1.3382794745690936,-1.3382794745690936,Z1
nitrile,aromatic HC,1,0.0611708474119928,0.0611708474119928,Z1
nitrile,water,2,1.7402718339367198,-1.7402718339367198,Z1
water,alkene/alkyne,1,3.2558714595188096,3.2558714595188096,Z1
water,ketone/aldehyde,3,0.06306652714414025,0.06306652714414025,Z1
water,nitrile,1,0.6291979629170503,-0.6291979629170503,Z1
